Активные соединения с интернетом (w/o servers)
Proto Recv-Q Send-Q Local Address Foreign Address State      
tcp6       0      0 localhost:44983         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:34371         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:51165         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:34367         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:59113         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:41570         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:40885         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:37153         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:55888         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:57308         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:33301         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:40350         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:55557         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:37317         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:37562         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:51918         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:52661         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:53250         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:53729         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:37416         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:59571         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:50960         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:43989         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:44087         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:42659         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:51701         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:51127         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:57572         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:39095         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:52739         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:50040         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:56122         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:45829         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:55760         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:56083         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:51892         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:42977         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:59381         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:33579         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:37815         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:52558         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:34504         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:36531         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:39880         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:37456         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:51377         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:56226         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:43195         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:55770         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:57140         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:37122         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:38743         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:40374         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:44151         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:38411         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:59572         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:52222         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:41437         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:45001         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:40145         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:48421         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:54629         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:49529         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:53351         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:49917         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:50793         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:34167         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:44550         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:32864         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:56121         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:36695         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:34517         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:37586         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:44600         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:43866         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:46463         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:56319         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:57506         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:49288         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:53974         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:34327         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:42793         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:48024         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:60571         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:49443         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:33807         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:47016         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:40627         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:35877         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:37225         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:42700         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:43266         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:39393         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:45598         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:58327         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:33177         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:50556         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:42094         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:36768         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:56527         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:36267         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:55613         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:45574         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:44272         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:59050         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:51364         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:35499         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:54982         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:40948         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:34152         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:41846         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:49782         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:60175         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:45093         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:49323         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:52772         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:33981         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:43105         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:50473         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:48119         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:59148         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:53195         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:39523         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:42692         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:59010         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:55129         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:52573         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:48182         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:48219         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:37656         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:46493         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:59618         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:35028         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:56741         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:50808         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:53001         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:57076         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:40635         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:55568         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:37151         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:56673         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:38267         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:49660         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:42739         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:50922         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:46102         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:60360         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:57172         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:58282         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:40674         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:43760         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:33504         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:33475         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:58083         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:34699         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:50779         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:53955         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:33548         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:37603         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:42453         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:45798         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:37127         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:42459         localhost:5555          TIME_WAIT  
